dfa_id,regex,A,B,C,D,E,F,G,H,I,J,K,L
83,[GEL]+,0,0,0,0,1,0,1,0,0,0,0,1
84,I+FJ*|C+,0,0,1,0,0,1,0,0,1,1,0,0
85,[HJAB],1,1,0,0,0,0,0,1,0,1,0,0
86,IIE|F*E*|E,0,0,0,0,1,1,0,0,1,0,0,0
87,D|K*E*C*E,0,0,1,1,1,0,0,0,0,0,1,0
88,[CJIKBH]*,0,1,1,0,0,0,0,1,1,1,1,0
89,B*LI,0,1,0,0,0,0,0,0,1,0,0,1
90,[GFDL]+,0,0,0,1,0,1,1,0,0,0,0,1
91,EIE+A,1,0,0,0,1,0,0,0,1,0,0,0
92,[CGJKI]+,0,0,1,0,0,0,1,0,1,1,1,0
93,J*I+CG*|J+G+C|C+A*C,1,0,1,0,0,0,1,0,1,1,0,0
94,H+E+L+F+A*|LL*D|I+I*,1,0,0,1,1,1,0,1,1,0,0,1
95,[IACF]*,1,0,1,0,0,1,0,0,1,0,0,0
96,[ECJDLA]+,1,0,1,1,1,0,0,0,0,1,0,1
97,EH+L+|C+A*H+,1,0,1,0,1,0,0,1,0,0,0,1
98,F|EA+|B*E*,1,1,0,0,1,1,0,0,0,0,0,0
99,BEG|E*A|H+C,1,1,1,0,1,0,1,1,0,0,0,0
100,[KLFHDE]+,0,0,0,1,1,1,0,1,0,0,1,1
101,[GKB]+,0,1,0,0,0,0,1,0,0,0,1,0
102,HE+K|F*,0,0,0,0,1,1,0,1,0,0,1,0
103,[DCHIEA]+,1,0,1,1,1,0,0,1,1,0,0,0
104,[EKJLB]+,0,1,0,0,1,0,0,0,0,1,1,1
105,H+|F+K*AE,1,0,0,0,1,1,0,1,0,0,1,0
106,[BGFID]*,0,1,0,1,0,1,1,0,1,0,0,0
107,[LDBAG],1,1,0,1,0,0,1,0,0,0,0,1
108,[BKG],0,1,0,0,0,0,1,0,0,0,1,0
109,[KAD]*,1,0,0,1,0,0,0,0,0,0,1,0
110,[JADLGE]*,1,0,0,1,1,0,1,0,0,1,0,1
111,F*L+G+B*H,0,1,0,0,0,1,1,1,0,0,0,1
112,H|B+C*D*D+J*J*J,0,1,1,1,0,0,0,1,0,1,0,0
113,[HICDBG]*,0,1,1,1,0,0,1,1,1,0,0,0
114,[EGBKLJ],0,1,0,0,1,0,1,0,0,1,1,1
115,A+H+|J+E+|E+H|J,1,0,0,0,1,0,0,1,0,1,0,0
116,[BIFGA]*,1,1,0,0,0,1,1,0,1,0,0,0
117,IL*G+LD+L+|G+J*|A*,1,0,0,1,0,0,1,0,1,1,0,1
118,K*C*LEI*|E*C+B|L+,0,1,1,0,1,0,0,0,1,0,1,1
119,CD+H+|CG*E+C+,0,0,1,1,1,0,1,1,0,0,0,0
120,[LHJDA]+,1,0,0,1,0,0,0,1,0,1,0,1
121,EH+J|EFBCA*B*|L*,1,1,1,0,1,1,0,1,0,1,0,1
122,LK+F+|J+H*|B+L+,0,1,0,0,0,1,0,1,0,1,1,1
123,H+GDC*L+C+I+A+,1,0,1,1,0,0,1,1,1,0,0,1
124,A*|K+D+C|F+F|K+K*,1,0,1,1,0,1,0,0,0,0,1,0
125,[GJAEC],1,0,1,0,1,0,1,0,0,1,0,0
126,[HIF]+,0,0,0,0,0,1,0,1,1,0,0,0
127,[DLJI],0,0,0,1,0,0,0,0,1,1,0,1
128,[IBL]*,0,1,0,0,0,0,0,0,1,0,0,1
129,[BFK]*,0,1,0,0,0,1,0,0,0,0,1,0
130,[DKAJHB]+,1,1,0,1,0,0,0,1,0,1,1,0
131,[AKE]+,1,0,0,0,1,0,0,0,0,0,1,0
132,[ICKEG]+,0,0,1,0,1,0,1,0,1,0,1,0
133,E+B+L*|J,0,1,0,0,1,0,0,0,0,1,0,1
134,D|J+LL*|HC|BD|DD*|D,0,1,1,1,0,0,0,1,0,1,0,1
135,[DIABCE]+,1,1,1,1,1,0,0,0,1,0,0,0
136,B+D+A+FDBIE,1,1,0,1,1,1,0,0,1,0,0,0
137,[FLI]*,0,0,0,0,0,1,0,0,1,0,0,1
138,[AKCDF],1,0,1,1,0,1,0,0,0,0,1,0
139,[FDLJ],0,0,0,1,0,1,0,0,0,1,0,1
140,[AGCDB]+,1,1,1,1,0,0,1,0,0,0,0,0
141,HK*D,0,0,0,1,0,0,0,1,0,0,1,0
142,[KEBC]*,0,1,1,0,1,0,0,0,0,0,1,0
143,HEF*C*|E+FD|B,0,1,1,1,1,1,0,1,0,0,0,0
144,AEDA*I+,1,0,0,1,1,0,0,0,1,0,0,0
145,[DKEC]+,0,0,1,1,1,0,0,0,0,0,1,0
146,[EHB],0,1,0,0,1,0,0,1,0,0,0,0
147,I+A+C+D,1,0,1,1,0,0,0,0,1,0,0,0
148,[HIJE],0,0,0,0,1,0,0,1,1,1,0,0
149,C*|J*I|A+L*,1,0,1,0,0,0,0,0,1,1,0,1
150,[CHIB],0,1,1,0,0,0,0,1,1,0,0,0
151,[IBHA]+,1,1,0,0,0,0,0,1,1,0,0,0
152,H+|J+K+K+AJ*|D+G+,1,0,0,1,0,0,1,1,0,1,1,0
153,F+|A*B+|GI*|L+FC*,1,1,1,0,0,1,1,0,1,0,0,1
154,[FKL]+,0,0,0,0,0,1,0,0,0,0,1,1
155,[AEDLK]*,1,0,0,1,1,0,0,0,0,0,1,1
156,D*|D+B|E*I,0,1,0,1,1,0,0,0,1,0,0,0
157,F|JFLB*|F,0,1,0,0,0,1,0,0,0,1,0,1
158,E*|A+A|H+H+H|K,1,0,0,0,1,0,0,1,0,0,1,0
159,K|I*B*G*LC*|E+I*,0,1,1,0,1,0,1,0,1,0,1,1
160,[DKAIHC]*,1,0,1,1,0,0,0,1,1,0,1,0
161,[IHKCF],0,0,1,0,0,1,0,1,1,0,1,0
162,D|H+JG|J*F*C+,0,0,1,1,0,1,1,1,0,1,0,0
163,[EIG]+,0,0,0,0,1,0,1,0,1,0,0,0
164,H+E+EK*|F+,0,0,0,0,1,1,0,1,0,0,1,0
165,D*E*J*|GA,1,0,0,1,1,0,1,0,0,1,0,0
166,[BDECLG],0,1,1,1,1,0,1,0,0,0,0,1
167,GFG+,0,0,0,0,0,1,1,0,0,0,0,0
168,[GAHEIC],1,0,1,0,1,0,1,1,1,0,0,0
169,[LGIEFK],0,0,0,0,1,1,1,0,1,0,1,1
170,A+H+KI*J+,1,0,0,0,0,0,0,1,1,1,1,0
171,G+A*|G*L+,1,0,0,0,0,0,1,0,0,0,0,1
172,[EIFLA]*,1,0,0,0,1,1,0,0,1,0,0,1
173,[BHI]+,0,1,0,0,0,0,0,1,1,0,0,0
174,K*B+J*,0,1,0,0,0,0,0,0,0,1,1,0
175,[CFGL]*,0,0,1,0,0,1,1,0,0,0,0,1
176,[HGFAKJ]*,1,0,0,0,0,1,1,1,0,1,1,0
177,[CADFG],1,0,1,1,0,1,1,0,0,0,0,0
178,[LBJCA],1,1,1,0,0,0,0,0,0,1,0,1
179,[FBIGEC],0,1,1,0,1,1,1,0,1,0,0,0
180,[EGKIC]*,0,0,1,0,1,0,1,0,1,0,1,0
181,[IFAJ]+,1,0,0,0,0,1,0,0,1,1,0,0
182,[BELIK],0,1,0,0,1,0,0,0,1,0,1,1
183,[KCA]+,1,0,1,0,0,0,0,0,0,0,1,0
184,[DLHEF],0,0,0,1,1,1,0,1,0,0,0,1
185,[ALJGCE],1,0,1,0,1,0,1,0,0,1,0,1
186,D*C*D|F,0,0,1,1,0,1,0,0,0,0,0,0
187,[LBKHA]+,1,1,0,0,0,0,0,1,0,0,1,1
188,[CJEDHG],0,0,1,1,1,0,1,1,0,1,0,0
189,C+|JB|L+F*|B,0,1,1,0,0,1,0,0,0,1,0,1
190,[IDCHAJ]+,1,0,1,1,0,0,0,1,1,1,0,0
191,I|B*K+DFB,0,1,0,1,0,1,0,0,1,0,1,0
192,J+|A+K+|G+B+FB+A|H*E*,1,1,0,0,1,1,1,1,0,1,1,0
193,F+|E+L+J*D+D,0,0,0,1,1,1,0,0,0,1,0,1
194,E+K|H*L*|E*F+|FKC+J+,0,0,1,0,1,1,0,1,0,1,1,1
195,[LHD],0,0,0,1,0,0,0,1,0,0,0,1
196,[EKIBJH],0,1,0,0,1,0,0,1,1,1,1,0
197,AB*H*G+,1,1,0,0,0,0,1,1,0,0,0,0
198,A+E*J+JB*L,1,1,0,0,1,0,0,0,0,1,0,1
199,K+C*|CE,0,0,1,0,1,0,0,0,0,0,1,0
200,[EJHA],1,0,0,0,1,0,0,1,0,1,0,0
201,[KJBDFH]*,0,1,0,1,0,1,0,1,0,1,1,0
202,[CJIF],0,0,1,0,0,1,0,0,1,1,0,0
203,K+I+AK*H+|H+F,1,0,0,0,0,1,0,1,1,0,1,0
204,[GIHBDA]*,1,1,0,1,0,0,1,1,1,0,0,0
205,[KJFBH]+,0,1,0,0,0,1,0,1,0,1,1,0
206,J*|I+J+E*A*E*D|E+,1,0,0,1,1,0,0,0,1,1,0,0
207,[EJI],0,0,0,0,1,0,0,0,1,1,0,0
208,[DEA],1,0,0,1,1,0,0,0,0,0,0,0
209,[JGFH]*,0,0,0,0,0,1,1,1,0,1,0,0
210,G*AK*GEL+,1,0,0,0,1,0,1,0,0,0,1,1
211,[DLFJB],0,1,0,1,0,1,0,0,0,1,0,1
212,[AELGF]+,1,0,0,0,1,1,1,0,0,0,0,1
213,[EHF],0,0,0,0,1,1,0,1,0,0,0,0
214,L*IA,1,0,0,0,0,0,0,0,1,0,0,1
215,[DJKC],0,0,1,1,0,0,0,0,0,1,1,0
216,[AEIGL]*,1,0,0,0,1,0,1,0,1,0,0,1
217,G*J|C+AE+,1,0,1,0,1,0,1,0,0,1,0,0
218,[IFLA]*,1,0,0,0,0,1,0,0,1,0,0,1
219,D*B+K,0,1,0,1,0,0,0,0,0,0,1,0
220,[DKB]*,0,1,0,1,0,0,0,0,0,0,1,0
221,K*L+HD*IL|D+,0,0,0,1,0,0,0,1,1,0,1,1
222,[DICHA]*,1,0,1,1,0,0,0,1,1,0,0,0
223,[DICA],1,0,1,1,0,0,0,0,1,0,0,0
224,D+DL*,0,0,0,1,0,0,0,0,0,0,0,1
225,CJ*|K+L*|C*,0,0,1,0,0,0,0,0,0,1,1,1
226,[KLCBAH],1,1,1,0,0,0,0,1,0,0,1,1
227,[EIJH],0,0,0,0,1,0,0,1,1,1,0,0
228,FH+F|J*,0,0,0,0,0,1,0,1,0,1,0,0
229,[EHBFC]*,0,1,1,0,1,1,0,1,0,0,0,0
230,B*I+KIF|G*,0,1,0,0,0,1,1,0,1,0,1,0
231,[CKALBE]*,1,1,1,0,1,0,0,0,0,0,1,1
232,[AFDGC]*,1,0,1,1,0,1,1,0,0,0,0,0
233,L+EL*,0,0,0,0,1,0,0,0,0,0,0,1
234,C+ILE*B+,0,1,1,0,1,0,0,0,1,0,0,1
235,D|H*E+|B+L+|ADI|DA*,1,1,0,1,1,0,0,1,1,0,0,1
236,[HBGJK]+,0,1,0,0,0,0,1,1,0,1,1,0
237,A*K*CB|LD+J,1,1,1,1,0,0,0,0,0,1,1,1
238,G*|C*L+|B+G+,0,1,1,0,0,0,1,0,0,0,0,1
239,E+C*F,0,0,1,0,1,1,0,0,0,0,0,0
240,[BDFH]*,0,1,0,1,0,1,0,1,0,0,0,0
241,I*|CEG,0,0,1,0,1,0,1,0,1,0,0,0
242,[HBJGA]+,1,1,0,0,0,0,1,1,0,1,0,0
243,[JBKGEF]+,0,1,0,0,1,1,1,0,0,1,1,0
244,[HGBFDC]*,0,1,1,1,0,1,1,1,0,0,0,0
245,[KFH]+,0,0,0,0,0,1,0,1,0,0,1,0
246,A*E+D+|JJ,1,0,0,1,1,0,0,0,0,1,0,0
247,[FJIGCK],0,0,1,0,0,1,1,0,1,1,1,0
248,[DBHL],0,1,0,1,0,0,0,1,0,0,0,1
249,[DCHJ]*,0,0,1,1,0,0,0,1,0,1,0,0
250,A+EE,1,0,0,0,1,0,0,0,0,0,0,0
251,A+F*B+G*,1,1,0,0,0,1,1,0,0,0,0,0
252,[ICH]*,0,0,1,0,0,0,0,1,1,0,0,0
253,[EGDBC]*,0,1,1,1,1,0,1,0,0,0,0,0
254,G*|FGLK*F*|I+B+L+,0,1,0,0,0,1,1,0,1,0,1,1
255,[AKEHF]+,1,0,0,0,1,1,0,1,0,0,1,0
256,D*E+J+,0,0,0,1,1,0,0,0,0,1,0,0
257,E*|K+C+|J*BEF+,0,1,1,0,1,1,0,0,0,1,1,0
258,[ELDHCA],1,0,1,1,1,0,0,1,0,0,0,1
259,[AGLFH]*,1,0,0,0,0,1,1,1,0,0,0,1
260,E+|A*HH*|C+B*,1,1,1,0,1,0,0,1,0,0,0,0
261,[DLBFEG],0,1,0,1,1,1,1,0,0,0,0,1
262,[ICAHG]+,1,0,1,0,0,0,1,1,1,0,0,0
263,[HGBA],1,1,0,0,0,0,1,1,0,0,0,0
264,L*H+DK*,0,0,0,1,0,0,0,1,0,0,1,1
265,A+L+|J+FA|E+BF*,1,1,0,0,1,1,0,0,0,1,0,1
266,[HCKFAL],1,0,1,0,0,1,0,1,0,0,1,1
267,[CKA]+,1,0,1,0,0,0,0,0,0,0,1,0
268,[EHDB],0,1,0,1,1,0,0,1,0,0,0,0
269,K*F*|FA*F+,1,0,0,0,0,1,0,0,0,0,1,0
270,G|D*L*I*,0,0,0,1,0,0,1,0,1,0,0,1
271,[BJI]+,0,1,0,0,0,0,0,0,1,1,0,0
272,[ILJHGE]*,0,0,0,0,1,0,1,1,1,1,0,1
273,[CIKG]*,0,0,1,0,0,0,1,0,1,0,1,0
274,J*D+|C*E|B+G+JGIH*|A,1,1,1,1,1,0,1,1,1,1,0,0
275,F|AIB*J+B+|C+I+|F,1,1,1,0,0,1,0,0,1,1,0,0
276,BE*C+L*,0,1,1,0,1,0,0,0,0,0,0,1
277,[FAEHC]*,1,0,1,0,1,1,0,1,0,0,0,0
278,[LCDJF]+,0,0,1,1,0,1,0,0,0,1,0,1
279,[DCI]*,0,0,1,1,0,0,0,0,1,0,0,0
280,F+|DG+|I+J,0,0,0,1,0,1,1,0,1,1,0,0
281,[HJD],0,0,0,1,0,0,0,1,0,1,0,0
282,F|I+D*C,0,0,1,1,0,1,0,0,1,0,0,0
283,K*I+LL+|CB+|I,0,1,1,0,0,0,0,0,1,0,1,1
284,[EIKCBG]*,0,1,1,0,1,0,1,0,1,0,1,0
285,[DALK]+,1,0,0,1,0,0,0,0,0,0,1,1
286,[AIFE]*,1,0,0,0,1,1,0,0,1,0,0,0
287,L+B+|A+L*,1,1,0,0,0,0,0,0,0,0,0,1
288,[IHLFBE]*,0,1,0,0,1,1,0,1,1,0,0,1
289,F*LE+K+H,0,0,0,0,1,1,0,1,0,0,1,1
290,J*A|JH,1,0,0,0,0,0,0,1,0,1,0,0
291,[AEDLBI],1,1,0,1,1,0,0,0,1,0,0,1
292,[IEFCJH]+,0,0,1,0,1,1,0,1,1,1,0,0
293,I+H*C*G*A+|L+B+|CL,1,1,1,0,0,0,1,1,1,0,0,1
294,[DAJ]*,1,0,0,1,0,0,0,0,0,1,0,0
295,[FCJ],0,0,1,0,0,1,0,0,0,1,0,0
296,[GCELB]*,0,1,1,0,1,0,1,0,0,0,0,1
297,[DEGF]*,0,0,0,1,1,1,1,0,0,0,0,0
298,[JCE]*,0,0,1,0,1,0,0,0,0,1,0,0
299,[AELH]+,1,0,0,0,1,0,0,1,0,0,0,1
300,H+|K*I+|LB+K*,0,1,0,0,0,0,0,1,1,0,1,1
301,H+H*|L+LE*,0,0,0,0,1,0,0,1,0,0,0,1
302,[HEGK],0,0,0,0,1,0,1,1,0,0,1,0
303,K*|B*G*I*|C*K|CB*K+,0,1,1,0,0,0,1,0,1,0,1,0
304,[KEIAJ],1,0,0,0,1,0,0,0,1,1,1,0
305,H*K+|EC,0,0,1,0,1,0,0,1,0,0,1,0
306,[EBKAJH],1,1,0,0,1,0,0,1,0,1,1,0
307,[AGDILH]*,1,0,0,1,0,0,1,1,1,0,0,1
308,D+K+A*|LH*|I+J+K+L+,1,0,0,1,0,0,0,1,1,1,1,1
309,D+K*B|B*F|FLB+J*|BC*|A*,1,1,1,1,0,1,0,0,0,1,1,1
310,C+|IE+J+|J*D*I+|J+E+,0,0,1,1,1,0,0,0,1,1,0,0
311,[ADFI]+,1,0,0,1,0,1,0,0,1,0,0,0
312,L+L*DBD+,0,1,0,1,0,0,0,0,0,0,0,1
313,L*C*J*|EB*I+,0,1,1,0,1,0,0,0,1,1,0,1
314,LI+F*DB*|F*B|I*,0,1,0,1,0,1,0,0,1,0,0,1
315,G*KG*B|C+J+,0,1,1,0,0,0,1,0,0,1,1,0
316,[GFD]*,0,0,0,1,0,1,1,0,0,0,0,0
317,D*|IA|J*J+D|L+A*|K,1,0,0,1,0,0,0,0,1,1,1,1
318,L+|E+H+G+,0,0,0,0,1,0,1,1,0,0,0,1
319,[ADGB],1,1,0,1,0,0,1,0,0,0,0,0
320,[CKIJL]*,0,0,1,0,0,0,0,0,1,1,1,1
321,[ACKI]*,1,0,1,0,0,0,0,0,1,0,1,0
322,C*HA+H*|L+J+,1,0,1,0,0,0,0,1,0,1,0,1
323,[IECG],0,0,1,0,1,0,1,0,1,0,0,0
324,[DGC],0,0,1,1,0,0,1,0,0,0,0,0
325,[GAD]+,1,0,0,1,0,0,1,0,0,0,0,0
326,B*JHA*B*|C*,1,1,1,0,0,0,0,1,0,1,0,0
327,[DIEB]+,0,1,0,1,1,0,0,0,1,0,0,0
328,K*C*F*,0,0,1,0,0,1,0,0,0,0,1,0
329,D*K*K*|DH*A+G+B,1,1,0,1,0,0,1,1,0,0,1,0
330,[AKH]+,1,0,0,0,0,0,0,1,0,0,1,0
331,[ABGJ]*,1,1,0,0,0,0,1,0,0,1,0,0
332,IABH+,1,1,0,0,0,0,0,1,1,0,0,0
333,HH*|ID|G*C*|J+G+,0,0,1,1,0,0,1,1,1,1,0,0
334,G+|J*E*B*K|G*L+B|EI,0,1,0,0,1,0,1,0,1,1,1,1
335,[KAHDBG]+,1,1,0,1,0,0,1,1,0,0,1,0
336,A+D+KF,1,0,0,1,0,1,0,0,0,0,1,0
337,B*|F+H+|KJ+A|A*KI+,1,1,0,0,0,1,0,1,1,1,1,0
338,I+AA*G*K*|H*C+,1,0,1,0,0,0,1,1,1,0,1,0
339,[DIAF]*,1,0,0,1,0,1,0,0,1,0,0,0
340,H+|LIK+J*CG*|F+AC*,1,0,1,0,0,1,1,1,1,1,1,1
341,[AHEB],1,1,0,0,1,0,0,1,0,0,0,0
342,[CKBH],0,1,1,0,0,0,0,1,0,0,1,0
343,[HIGK]+,0,0,0,0,0,0,1,1,1,0,1,0
344,J*F+K+,0,0,0,0,0,1,0,0,0,1,1,0
345,GD+C,0,0,1,1,0,0,1,0,0,0,0,0
346,D+I+A+L|A+F*,1,0,0,1,0,1,0,0,1,0,0,1
347,H|F*DE+,0,0,0,1,1,1,0,1,0,0,0,0
348,E|GL+|C*G|I+,0,0,1,0,1,0,1,0,1,0,0,1
349,[AEDBC]*,1,1,1,1,1,0,0,0,0,0,0,0
350,[JEF],0,0,0,0,1,1,0,0,0,1,0,0
351,[GCLFK]*,0,0,1,0,0,1,1,0,0,0,1,1
352,LB|JH*|AD|B+J+E*|D+,1,1,0,1,1,0,0,1,0,1,0,1
353,[KHAJBI],1,1,0,0,0,0,0,1,1,1,1,0
354,[FJG]+,0,0,0,0,0,1,1,0,0,1,0,0
355,[JIB]+,0,1,0,0,0,0,0,0,1,1,0,0
356,[DLKJ]+,0,0,0,1,0,0,0,0,0,1,1,1
357,[HFE]*,0,0,0,0,1,1,0,1,0,0,0,0
358,A+IB+,1,1,0,0,0,0,0,0,1,0,0,0
359,[DJEALB]+,1,1,0,1,1,0,0,0,0,1,0,1
360,GE*K+,0,0,0,0,1,0,1,0,0,0,1,0
361,C*F*H|D*C*F,0,0,1,1,0,1,0,1,0,0,0,0
362,L+J*L+|L+AB|E*K+F+,1,1,0,0,1,1,0,0,0,1,1,1
363,F*C*B*|D*I*|H*C*,0,1,1,1,0,1,0,1,1,0,0,0
364,[AEBF]+,1,1,0,0,1,1,0,0,0,0,0,0
365,[FDK],0,0,0,1,0,1,0,0,0,0,1,0
366,[FGL]*,0,0,0,0,0,1,1,0,0,0,0,1
367,[DFLGA]+,1,0,0,1,0,1,1,0,0,0,0,1
368,L*H*|HK|K*B+G*C*|C+E+,0,1,1,0,1,0,1,1,0,0,1,1
369,A+|K+L*A*,1,0,0,0,0,0,0,0,0,0,1,1
370,G+H+J*,0,0,0,0,0,0,1,1,0,1,0,0
371,[HIBCD]*,0,1,1,1,0,0,0,1,1,0,0,0
372,DC*F*DJ*|G+L*J,0,0,1,1,0,1,1,0,0,1,0,1
373,[CJLHGE]+,0,0,1,0,1,0,1,1,0,1,0,1
374,[DIC],0,0,1,1,0,0,0,0,1,0,0,0
375,H+HL+|D+I*F*I*|L,0,0,0,1,0,1,0,1,1,0,0,1
376,[ABCH]*,1,1,1,0,0,0,0,1,0,0,0,0
377,[EFGJL]*,0,0,0,0,1,1,1,0,0,1,0,1
378,[JIFK],0,0,0,0,0,1,0,0,1,1,1,0
379,E+F+|B*IG+,0,1,0,0,1,1,1,0,1,0,0,0
380,[CABKFE]+,1,1,1,0,1,1,0,0,0,0,1,0
381,[KGJ]+,0,0,0,0,0,0,1,0,0,1,1,0
382,[DJFI],0,0,0,1,0,1,0,0,1,1,0,0
383,[CJK]*,0,0,1,0,0,0,0,0,0,1,1,0
384,A|EH*|K+D*B+H+|E+J*K+F|E*,1,1,0,1,1,1,0,1,0,1,1,0
385,[LIKC]*,0,0,1,0,0,0,0,0,1,0,1,1
386,G+|I*E*|IA*GH+,1,0,0,0,1,0,1,1,1,0,0,0
